1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)
3.1.3.7	"Bifunctional oligoribonuclease and PAP phosphatase NrnA (EC 3.1.-.-) (3'(2'),5'-bisphosphate nucleotidase) (EC 3.1.3.7) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase) (nanoRNase)"
3.6.4.13	Probable ATP-dependent RNA helicase YfmL (EC 3.6.4.13)
3.4.21.102	Carboxy-terminal processing protease CtpB (C-terminal processing protease) (EC 3.4.21.102)
3.6.1.55	"Putative 8-oxo-dGTP diphosphatase YtkD (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (dGTP pyrophosphohydrolase)"
3.1.1.96	D-aminoacyl-tRNA deacylase (EC 3.1.1.96) (D-tyrosyl-tRNA(Tyr) deacylase)
3.1.26.3	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)
3.6.1.15	Nucleoside-triphosphatase THEP1 (NTPase THEP1) (EC 3.6.1.15) (Nucleoside triphosphate phosphohydrolase)
3.6.5.n1	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)
3.1.3.1	Alkaline phosphatase (APase) (EC 3.1.3.1)
3.2.1.1	"Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)"
3.4.21.89	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)
3.4.23.36	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)
3.5.1.1	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)
3.6.3.12	Potassium-transporting ATPase ATP-binding subunit (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)
3.1.1.61	Chemotaxis response regulator protein-glutamate methylesterase (EC 3.1.1.61)
3.4.21.62	Subtilisin E (EC 3.4.21.62)
3.2.2.21	"DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)"
3.4.11.2	Aminopeptidase N (EC 3.4.11.2) (Alpha-aminoacylpeptide hydrolase)
3.2.1.73	"Beta-glucanase (EC 3.2.1.73) (1,3-1,4-beta-D-glucan 4-glucanohydrolase) (Endo-beta-1,3-1,4 glucanase) (Lichenase)"
3.4.24.68	Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)]
3.1.11.5	RecBCD enzyme subunit RecD (EC 3.1.11.5) (Exodeoxyribonuclease V 67 kDa polypeptide) (Exodeoxyribonuclease V alpha chain) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD)
3.1.11.1	Exodeoxyribonuclease I (ExoI) (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase)
3.5.2.3	Dihydroorotase (DHOase) (EC 3.5.2.3)
3.2.2.20	"DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)"
3.6.1.41	"Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)"
3.2.1.80	Levanase (EC 3.2.1.80) (Beta-D-fructofuranosidase) (Exo-beta-D-fructosidase) (Exo-levanase)
3.2.1.31	Beta-glucuronidase (GUS) (EC 3.2.1.31) (Beta-D-glucuronoside glucuronosohydrolase)
3.6.1.23	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)
3.6.3.34	Iron(3+)-hydroxamate import ATP-binding protein FhuC (EC 3.6.3.34) (Ferric hydroxamate uptake protein C) (Ferrichrome transport ATP-binding protein FhuC) (Iron(III)-hydroxamate import ATP-binding protein FhuC)
3.1.3.48	Tyrosine-protein phosphatase YopH (EC 3.1.3.48) (Virulence protein)
3.1.11.2	Exodeoxyribonuclease III (EXO III) (Exonuclease III) (EC 3.1.11.2) (AP endonuclease VI)
3.1.13.5	Ribonuclease D (RNase D) (EC 3.1.13.5)
3.4.23.49	Protease 7 (EC 3.4.23.49) (Omptin) (Outer membrane protein 3B) (Protease A) (Protease VII)
3.4.21.105	Rhomboid protease GlpG (EC 3.4.21.105) (Intramembrane serine protease)
3.1.21.2	Endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)
3.5.1.42	Nicotinamide-nucleotide amidohydrolase PncC (NMN amidohydrolase PncC) (EC 3.5.1.42) (NMN deamidase) (Nicotinamide-nucleotide amidase)
3.4.21.92	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Heat shock protein F21.5) (Protease Ti)
3.5.1.88	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)
3.4.25.2	ATP-dependent protease subunit HslV (EC 3.4.25.2) (Heat shock protein HslV)
3.5.4.25	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)
3.1.26.4	Ribonuclease HI (RNase HI) (EC 3.1.26.4) (Ribonuclease H) (RNase H)
3.1.26.5	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)
3.1.22.4	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)
3.1.3.5	Pyrimidine 5'-nucleotidase YjjG (EC 3.1.3.5) (House-cleaning nucleotidase) (Non-canonical pyrimidine nucleotide phosphatase) (Nucleoside 5'-monophosphate phosphohydrolase) (dUMP phosphatase)
3.1.3.10	Alpha-D-glucose 1-phosphate phosphatase YihX (Alpha-D-glucose-1-P phosphatase) (EC 3.1.3.10) (Alpha-D-glucose-1-phosphatase) (Haloacid dehalogenase-like phosphatase 4) (HAD4)
3.1.3.23	Sugar phosphatase YidA (EC 3.1.3.23)
3.1.3.11	"Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)"
3.2.2.28	G/U mismatch-specific DNA glycosylase (EC 3.2.2.28) (Double-strand-specific uracil glycosylase) (Mismatch-specific uracil DNA-glycosylase) (MUG)
3.4.21.53	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)
3.6.1.7	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)
3.6.3.14	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)
3.5.4.5	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)
3.1.3.45	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC (EC 3.1.3.45) (KDO 8-P phosphatase)
3.1.3.27	Phosphatidylglycerophosphatase C (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase C) (PGP phosphatase C)
3.1.1.5	Acyl-CoA thioesterase I (EC 3.1.2.-) (Lecithinase B) (Lysophospholipase L1) (EC 3.1.1.5) (Protease I)
3.1.3.25	Inositol-1-monophosphatase (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25)
3.2.2.4	AMP nucleosidase (EC 3.2.2.4)
3.1.3.2	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
3.5.1.18	"Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)"
3.4.21.107	Serine endoprotease DegS (EC 3.4.21.107) (Site-1 protease DegS) (S1P protease DegS) (Site-1-type intramembrane protease)
3.1.4.53	"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA (3',5'-cyclic AMP phosphodiesterase) (cAMP phosphodiesterase) (EC 3.1.4.53)"
3.2.2.9	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (P46) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)
3.6.1.67	Dihydroneopterin triphosphate diphosphatase (EC 3.6.1.67) (Dihydroneopterin triphosphate pyrophosphatase) (dATP pyrophosphohydrolase)
3.4.17.13	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase (EC 3.4.-.-) (EC 3.4.17.13) (Lipoprotein Spr) (Murein hydrolase MepS)
3.4.22.10	Streptopain (EC 3.4.22.10) (Exotoxin type B) (SPE B) (Streptococcal cysteine proteinase) (Streptococcus peptidase A) (SPP)
3.1.1.11	Pectinesterase A (PE A) (EC 3.1.1.11) (Pectin methylesterase A)
3.1.4.3	Phospholipase C (PLC) (EC 3.1.4.3) (Alpha-toxin) (Hemolysin) (Lecithinase) (Phosphatidylcholine cholinephosphohydrolase)
3.3.2.1	"Vibriobactin-specific isochorismatase (EC 3.3.2.1) (2,3 dihydro-2,3 dihydroxybenzoate synthase) (Isochorismate lyase-ArCP)"
3.6.3.20	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 3.6.3.20)
3.2.2.27	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)
3.4.24.26	Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase]
3.5.1.5	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)
3.4.11.9	Xaa-Pro aminopeptidase (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Aminopeptidase P II) (APP-II) (X-Pro aminopeptidase)
3.4.13.18	Cytosol non-specific dipeptidase (EC 3.4.13.18) (Aminoacyl-histidine dipeptidase) (Beta-alanyl-histidine dipeptidase) (Carnosinase) (Cysteinylglycinase) (Peptidase D) (Xaa-His dipeptidase) (X-His dipeptidase)
3.1.5.1	Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1)
3.4.24.83	Lethal factor (LF) (EC 3.4.24.83) (Anthrax lethal toxin endopeptidase component)
3.6.1.63	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase (RPnTP diphosphatase) (EC 3.6.1.63)
3.1.4.55	"Phosphoribosyl 1,2-cyclic phosphodiesterase (EC 3.1.4.55) (Phosphoribosyl cyclic phosphodiesterase)"
3.4.23.48	Coagulase/fibrinolysin (EC 3.4.23.48) (Plasminogen activator)
3.4.21.116	SpoIVB peptidase (EC 3.4.21.116) (Sporulation factor IV B protease) (Stage IV sporulation protein B) [Cleaved into: SpoIVB peptidase 45 kDa isoform; SpoIVB peptidase 43 kDa isoform; SpoIVB peptidase 42 kDa isoform]
3.6.3.19	Maltose/maltodextrin import ATP-binding protein MalK (EC 3.6.3.19)
3.4.13.9	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase)
3.1.13.1	Ribonuclease R (RNase R) (EC 3.1.13.1) (Protein VacB)
3.1.26.12	Ribonuclease E (RNase E) (EC 3.1.26.12)
3.1.4.14	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)
3.1.3.74	Pyridoxal phosphate phosphatase YbhA (PLP phosphatase) (EC 3.1.3.74)
3.4.15.5	Peptidyl-dipeptidase dcp (EC 3.4.15.5) (Dipeptidyl carboxypeptidase)
3.4.16.4	D-alanyl-D-alanine carboxypeptidase DacB (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (D-alanyl-D-alanine endopeptidase) (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 4) (PBP-4)
3.5.99.2	Aminopyrimidine aminohydrolase (EC 3.5.99.2) (4-amino-5-aminomethyl-2-methylpyrimidine hydrolase) (Thiaminase II)
3.5.4.1	Cytosine deaminase (CD) (CDA) (CDase) (EC 3.5.4.1) (Cytosine aminohydrolase) (Isoguanine deaminase) (EC 3.5.4.-)
3.4.11.4	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)
3.5.1.28	N-acetylmuramoyl-L-alanine amidase AmiB (EC 3.5.1.28)
3.2.1.15	Endo-polygalacturonase (EC 3.2.1.15)
3.1.1.3	Lactonizing lipase (EC 3.1.1.3) (Triacylglycerol lipase)
3.5.4.13	Deoxycytidine triphosphate deaminase (dCTP deaminase) (EC 3.5.4.13)
3.6.1.25	Inorganic triphosphatase (PPPase) (EC 3.6.1.25) (ORFXE)
3.2.1.177	Alpha-xylosidase (EC 3.2.1.177)
3.1.3.12	Trehalose-6-phosphate phosphatase (TPP) (EC 3.1.3.12) (Osmoregulatory trehalose synthesis protein B) (Trehalose 6-phosphate phosphatase) (Trehalose-phosphatase)
3.2.1.20	Alpha-glucosidase YihQ (EC 3.2.1.20)
3.1.3.18	Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)
3.1.4.52	Putative cyclic-di-GMP phosphodiesterase YjcC (EC 3.1.4.52)
3.1.2.12	S-formylglutathione hydrolase YeiG (FGH) (EC 3.1.2.12)
3.2.2.8	Pyrimidine-specific ribonucleoside hydrolase RihB (EC 3.2.2.8) (Cytidine/uridine-specific hydrolase)
3.4.13.21	Peptidase E (EC 3.4.13.21) (Alpha-aspartyl dipeptidase) (Asp-specific dipeptidase) (Dipeptidase E)
3.5.1.10	Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)
3.6.3.17	Xylose import ATP-binding protein XylG (EC 3.6.3.17)
3.1.26.8	Ribonuclease M5 (EC 3.1.26.8) (RNase M5) (Ribosomal RNA terminal maturase M5)
3.5.99.10	2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (Enamine/imine deaminase)
3.4.19.5	Isoaspartyl peptidase (EC 3.4.19.5) (Beta-aspartyl-peptidase) (EcAIII) (Isoaspartyl dipeptidase) [Cleaved into: Isoaspartyl peptidase subunit alpha; Isoaspartyl peptidase subunit beta]
3.2.1.4	"Endoglucanase G (EC 3.2.1.4) (Cellulase G) (EGCCG) (Endo-1,4-beta-glucanase G)"
3.5.1.105	Chitooligosaccharide deacetylase ChbG (COD) (EC 3.5.1.105) (Chitin disaccharide deacetylase) (Chitobiose deacetylase) (Chitobiose-6P deacetylase) (Chitotriose deacetylase) (Chitotriose-6P deacetylase)
3.2.1.17	"Muramidase-2 (EC 3.2.1.17) (1,4-beta-N-acetylmuramoylhydrolase) (Lysozyme) (Peptidoglycan hydrolase) (Pg-hydrolase 2)"
3.5.3.1	Arginase (EC 3.5.3.1)
3.9.1.2	Protein-arginine-phosphatase (PAP) (EC 3.9.1.2) (Phosphoarginine phosphatase)
3.1.3.73	Adenosylcobalamin/alpha-ribazole phosphatase (EC 3.1.3.73) (Adenosylcobalamin phosphatase) (Alpha-ribazole-5'-phosphate phosphatase)
3.5.1.44	Chemoreceptor glutamine deamidase CheD (EC 3.5.1.44)
3.2.1.52	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase) (N-acetylglucosaminidase) (ORF1)
3.7.1.22	"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase (THcHDO hydrolase) (EC 3.7.1.22)"
3.6.3.40	Teichoic acids export ATP-binding protein TagH (EC 3.6.3.40) (Teichoic acid-transporting ATPase)
3.6.1.54	"UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase)"
3.7.1.8	"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (HOPDA hydrolase) (EC 3.7.1.8) (2,6-dioxo-6-phenylhexa-3-enoate hydrolase)"
3.4.17.19	Carboxypeptidase 1 (EC 3.4.17.19) (BsuCP)
3.1.6.1	Arylsulfatase (AS) (EC 3.1.6.1) (Aryl-sulfate sulphohydrolase)
3.6.1.19	dITP/XTP pyrophosphatase (EC 3.6.1.19) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)
3.1.26.11	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)
3.2.1.170	Mannosylglycerate hydrolase (EC 3.2.1.170) (2-O-(6-phospho-mannosyl)-D-glycerate hydrolase) (Alpha-mannosidase mngB)
3.5.1.24	Choloylglycine hydrolase (EC 3.5.1.24) (Bile salt hydrolase) (Conjugated bile acid hydrolase) (CBAH)
3.8.1.5	Haloalkane dehalogenase (EC 3.8.1.5)
3.5.3.11	Agmatinase (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)
3.6.1.27	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)
3.2.1.18	Sialidase A (EC 3.2.1.18) (Neuraminidase A)
3.1.3.82	"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)"
3.1.21.7	Endonuclease V (EndoV) (EC 3.1.21.7) (Deoxyinosine 3'endonuclease) (Deoxyribonuclease V) (DNase V)
3.6.3.31	Spermidine/putrescine import ATP-binding protein PotA (EC 3.6.3.31)
3.4.15.6	Cyanophycinase (EC 3.4.15.6)
3.4.13.22	D-alanyl-D-alanine dipeptidase (D-Ala-D-Ala dipeptidase) (EC 3.4.13.22)
3.5.3.26	(S)-ureidoglycine aminohydrolase (UGHY) (UGlyAH) (EC 3.5.3.26)
3.5.1.110	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB (EC 3.5.1.110) (Ureidoacrylate amidohydrolase)
3.5.1.94	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (Gamma-Glu-GABA hydrolase) (EC 3.5.1.94)
3.5.1.96	Succinylglutamate desuccinylase (EC 3.5.1.96)
3.5.3.23	N-succinylarginine dihydrolase (EC 3.5.3.23)
3.1.3.89	5'-deoxynucleotidase YfbR (EC 3.1.3.89) (5'-deoxyribonucleotidase) (Nucleoside 5'-monophosphate phosphohydrolase)
3.7.1.14	"2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase (EC 3.7.1.14) (2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolase)"
3.5.2.5	Allantoinase (EC 3.5.2.5) (Allantoin-utilizing enzyme)
3.1.3.97	"5'-3' exoribonuclease (EC 3.1.13.-) (3',5'-nucleotide bisphosphate phosphatase) (EC 3.1.3.97) (RNase AM)"
3.1.2.28	"1,4-dihydroxy-2-naphthoyl-CoA hydrolase (DHNA-CoA hydrolase) (EC 3.1.2.28) (DHNA-CoA thioesterase)"
3.6.1.65	CTP pyrophosphohydrolase (EC 3.6.1.65)
3.4.11.24	Aminopeptidase S (EC 3.4.11.24) (API) (SGAP)
3.4.22.37	Gingipain R2 (EC 3.4.22.37) (Arg-gingipain) (Gingipain 2) (RGP-2)
3.3.1.1	Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase)
3.4.17.n1	CysO-cysteine peptidase (EC 3.4.17.n1) (Metallocarboxypeptidase Mec)
3.1.3.16	PP2C-family Ser/Thr phosphatase (EC 3.1.3.16) (Mycobacterial Ser/Thr phosphatase) (Mstp) (Possible serine/threonine phosphatase Ppp)
3.5.1.103	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase (GlcNAc-Ins deacetylase) (EC 3.5.1.103) (N-acetyl-1-D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase)
3.2.1.141	Malto-oligosyltrehalose trehalohydrolase (MTHase) (EC 3.2.1.141) (4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase) (Maltooligosyl trehalose trehalohydrolase)
3.2.1.122	6-phospho-alpha-glucosidase 1 (EC 3.2.1.122)
3.1.3.78	"Inositol phosphate phosphatase IpgD (EC 3.1.3.78) (Effector protein IpgD) (Phosphatidylinositol 4,5-bisphosphate 4-phosphatase)"
3.1.1.22	D-(-)-3-hydroxybutyrate oligomer hydrolase (3HB-oligomer hydrolase) (3HBOH) (EC 3.1.1.22) (Intracellular 3HB-oligomer hydrolase) (i3HBOH)
3.2.1.184	"GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing) (EC 3.2.1.184)"
3.6.1.57	"UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase (EC 3.6.1.57) (Pseudaminic acid biosynthesis protein G)"
3.6.3.39	Protein glycosylation K (EC 3.6.3.39)
3.4.21.19	Glutamyl endopeptidase (EC 3.4.21.19) (Endoproteinase Glu-C) (Staphylococcal serine proteinase) (V8 protease) (V8 proteinase)
3.7.1.21	6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase (6-OCH-CoA hydrolase) (EC 3.7.1.21) (6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase)
3.6.1.1	Putative K(+)-stimulated pyrophosphate-energized sodium pump (EC 3.6.1.1) (Membrane-bound sodium-translocating pyrophosphatase) (Pyrophosphate-energized inorganic pyrophosphatase) (Na(+)-PPase)
3.2.1.136	Glucuronoxylanase XynC (EC 3.2.1.136) (Endoxylanase XynC) (Glucuronoxylan xylanohydrolase)
3.5.5.1	Nitrilase (EC 3.5.5.1) (Arylacetonitrilase) (Indole-3-acetonitrile hydrolase) (IAN hydrolase) (Indole-3-acetonitrilase)
3.1.3.69	Glucosylglycerol-phosphate phosphatase (GGP-P) (EC 3.1.3.69) (Glucosylglycerol 3-phosphatase) (Salt tolerance protein A)
3.4.19.3	Pyrrolidone-carboxylate peptidase (EC 3.4.19.3) (5-oxoprolyl-peptidase) (Pyroglutamyl-peptidase I) (PGP-I) (Pyrase)
3.5.3.24	N(1)-aminopropylagmatine ureohydrolase (EC 3.5.3.24) (Protein SpeB homolog)
3.8.1.3	Fluoroacetate dehalogenase (EC 3.8.1.3)
3.4.14.12	Prolyl tripeptidyl peptidase (PTP) (EC 3.4.14.12) (Prolyl tripeptidyl peptidase 81.8 kDa form) (Prolyl tripeptidyl peptidase A) [Cleaved into: Prolyl tripeptidyl peptidase 75.8 kDa form]
3.1.1.77	Lipid A deacylase PagL (EC 3.1.1.77) (LPS 3-O-deacylase PagL) (Outer membrane enzyme PagL)
3.5.1.9	Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF)
3.2.1.165	Exo-beta-D-glucosaminidase (EC 3.2.1.165)
3.4.24.30	Gelatinase (EC 3.4.24.30) (Coccolysin)
3.5.1.106	N-formylmaleamate deformylase (EC 3.5.1.106) (Nicotinate degradation protein D)
3.5.1.107	Maleamate amidohydrolase (EC 3.5.1.107) (Nicotinate degradation protein F)
3.5.5.7	Nitrilase blr3397 (EC 3.5.5.7)
3.1.3.83	"D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.83) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)"
3.5.1.104	Peptidoglycan-N-acetylglucosamine deacetylase (Peptidoglycan GlcNAc deacetylase) (EC 3.5.1.104) (Peptidoglycan N-deacetylase) (PG N-deacetylase)
3.2.1.97	Endo-alpha-N-acetylgalactosaminidase (EC 3.2.1.97) (SpGH101)
3.2.1.180	Unsaturated chondroitin disaccharide hydrolase (EC 3.2.1.180) (Unsaturated glucuronyl hydrolase) (SpnUGL)
3.1.31.1	Thermonuclease (TNase) (EC 3.1.31.1) (Micrococcal nuclease) (Staphylococcal nuclease)
3.1.2.6	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)
3.1.4.4	Phospholipase D (PLD) (EC 3.1.4.4) (Choline phosphatase)
3.6.1.13	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (ASPPase) (Adenosine diphosphoribose pyrophosphatase) (ADPR-PPase)
3.1.1.27	4-pyridoxolactonase (EC 3.1.1.27)
3.5.1.29	2-(acetamidomethylene)succinate hydrolase (EC 3.5.1.29) (alpha-(N-acetylaminomethylene)succinic acid amidohydrolase) (AAMS amidohydrolase)
3.2.1.70	"Glucan 1,6-alpha-glucosidase (EC 3.2.1.70) (Dextran glucosidase) (Exo-1,6-alpha-glucosidase) (Glucodextranase)"
3.2.1.157	Iota-carrageenase (EC 3.2.1.157)
3.4.11.1	Aminopeptidase (EC 3.4.11.1) (Leucine aminopetidase) (PaAP) [Cleaved into: Aminopeptidase AP58; Aminopeptidase AP56; Aminopeptidase AP28]
3.5.1.97	Acyl-homoserine lactone acylase PvdQ (AHL acylase PvdQ) (Acyl-HSL acylase PvdQ) (EC 3.5.1.97) [Cleaved into: Acyl-homoserine lactone acylase PvdQ subunit alpha (Acyl-HSL acylase PvdQ subunit alpha); Acyl-homoserine lactone acylase PvdQ subunit beta (Acyl-HSL acylase PvdQ subunit beta)]
3.1.4.1	Fanconi-associated nuclease 1 homolog (PaFAN1) (pFAN1) (EC 3.1.4.1)
3.5.3.7	Guanidinobutyrase (EC 3.5.3.7)
3.5.3.17	Guanidinopropionase (EC 3.5.3.17)
3.5.4.2	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)
3.5.4.32	8-oxoguanine deaminase (EC 3.5.4.32)
3.7.1.17	"4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase (EC 3.7.1.17) (Meta-cleavage product hydrolase) (MCP hydrolase)"
3.2.1.54	Cyclomaltodextrinase (EC 3.2.1.54) (Maltodextrin glucosidase) (TMG)
4.1.3.36	"1,4-dihydroxy-2-naphthoyl-CoA synthase (DHNA-CoA synthase) (EC 4.1.3.36)"
4.2.1.46	"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
4.2.1.77	Trans-3-hydroxy-L-proline dehydratase (T3LHyp dehydratase) (t3HypD) (EC 4.2.1.77) (Trans-L-3-hydroxyproline dehydratase)
4.4.1.3	Dimethlysulfonioproprionate lyase DddP (DMSP lyase) (EC 4.4.1.3)
4.2.1.8	D-galactonate dehydratase family member Ent638_1932 (EC 4.2.1.-) (D-mannonate dehydratase) (EC 4.2.1.8)
4.1.1.11	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]
4.1.1.49	Phosphoenolpyruvate carboxykinase [ATP] (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)
4.1.99.13	(6-4) photolyase (EC 4.1.99.13) ((6-4)DNA photolyase) (DNA photolyase PhrB) (Photoreactivating enzyme PhrB)
4.1.99.3	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (Cyclobutane pyrimidine dimer photolyase) (CPD photolyase) (DNA photolyase PhrA) (Photoreactivating enzyme PhrA)
